2026-06-01 21:06:26.530384|450.21|come posso arrivare a gemona del friuli partendo d|Risposta generata con successo basandosi su documenti e contesto temporale.
2026-06-01 21:06:41.737283|450.21|come posso arrivare a gemona del friuli partendo d|Risposta generata con successo basandosi su documenti e contesto temporale.
2026-06-01 21:06:42.319664|450.21|come posso arrivare a gemona del friuli partendo d|Risposta generata con successo basandosi su documenti e contesto temporale.
2026-06-01 21:06:42.496408|450.21|come posso arrivare a gemona del friuli partendo d|Risposta generata con successo basandosi su documenti e contesto temporale.
2026-06-01 21:06:42.803367|450.21|come posso arrivare a gemona del friuli partendo d|Risposta generata con successo basandosi su documenti e contesto temporale.
2026-06-01 21:06:42.950546|450.21|come posso arrivare a gemona del friuli partendo d|Risposta generata con successo basandosi su documenti e contesto temporale.
2026-06-01 21:06:43.308359|450.21|come posso arrivare a gemona del friuli partendo d|Risposta generata con successo basandosi su documenti e contesto temporale.
2026-06-01 21:06:43.469947|450.21|come posso arrivare a gemona del friuli partendo d|Risposta generata con successo basandosi su documenti e contesto temporale.
2026-06-01 21:06:44.162719|450.21|come posso arrivare a gemona del friuli partendo d|Risposta generata con successo basandosi su documenti e contesto temporale.
2026-06-01 21:06:44.337614|450.21|come posso arrivare a gemona del friuli partendo d|Risposta generata con successo basandosi su documenti e contesto temporale.
2026-06-01 21:06:47.589557|450.21|come posso arrivare a gemona del friuli partendo d|Risposta generata con successo basandosi su documenti e contesto temporale.
2026-06-01 21:06:47.751018|450.21|come posso arrivare a gemona del friuli partendo d|Risposta generata con successo basandosi su documenti e contesto temporale.
2026-06-01 21:06:48.124430|450.21|come posso arrivare a gemona del friuli partendo d|Risposta generata con successo basandosi su documenti e contesto temporale.
2026-06-01 21:06:48.477676|450.21|come posso arrivare a gemona del friuli partendo d|Risposta generata con successo basandosi su documenti e contesto temporale.
2026-06-01 22:06:37.844328|0.29|Orario linea 1|Mi dispiace, al momento non riesco a elaborare la tua domanda. Errore: sequence item 0: expected str
2026-06-01 22:07:51.701841|986.95|Orario linea 1|Mi dispiace, al momento non riesco a elaborare la tua domanda. Errore: model 'mistral' not found (st
2026-06-01 22:07:54.671282|936.26|Orario linea 1|Mi dispiace, al momento non riesco a elaborare la tua domanda. Errore: model 'mistral' not found (st
2026-06-01 22:21:44.455352|48206.49|Orario linea 1|According to the service information, the available orari (timetables) for Linea 1 are:

* Prime fer
2026-06-01 22:22:13.304342|44403.78|gvgv|Non ho comprensione di "gvgv". Se cerchi informazioni sul servizio di trasporto urbano di Udine, pos
2026-06-01 22:25:01.572517|14256.61|Orario linea 1|Secondo il servizio di trasporto urbano Udine, l'orario delle prime fermate della Linea 1 �:

* 06:1
2026-06-01 22:26:04.154955|58986.83|A che ora passa la linea 10?|Non esiste una Linea 10 nel servizio di trasporto urbano Udine. La lista delle linee disponibili �:

2026-06-01 22:27:26.637337|30053.42|A che ora passa la linea 10?|Mi dispiace, ma non esiste una "linea 10" nel servizio urbano di Udine. La lista delle linee disponi
2026-06-01 22:28:35.296921|36361.19|A che ora passa la linea 10?|Mi dispiace, ma non esiste una "Linea 10" nel servizio urbano di Udine. La lista delle linee disponi
